moving window,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
2,Ningbo(10kTEU),"[ 460.65  613.8   820.9  1009.8  1063.3  1171.2  1375.8  1509.15 1622.25
 1773.7  1966.5 ]","[ 706.8  935.  1084.6 1042.  1300.4 1451.2 1567.1 1677.4 1870.  2063.
 2160. ]",17.50703612741211,236.71439590205054,[2111.5 2310.5 2548.  2692. ],[2461. 2635. 2749. 2872.],17.50703612741211,236.71439590205054
2,Shanghai(10kTEU),"[1631.9  1989.7  2393.   2706.5  2649.1  2703.55 3040.4  3213.4  3307.3
 3445.1  3591.25]","[2171.  2615.  2798.  2500.2 2906.9 3173.9 3252.9 3361.7 3528.5 3654.
 3713. ]",11.033348423236317,350.382181598634,[3683.5 3868.  4112.  4265.5],[4023. 4201. 4330. 4350.],11.033348423236317,350.382181598634
2,Singapore(10kTEU),"[2226.05 2399.2  2636.4  2892.7  2789.25 2714.9  2918.45 3079.35 3211.4
 3322.4  3239.45]","[2479.2 2793.6 2991.8 2586.7 2843.1 2993.8 3164.9 3257.9 3386.9 3092.
 3090. ]",8.180462345214421,255.68160109081705,[3091.  3228.5 3513.5 3690. ],[3367. 3660. 3720. 3660.],8.180462345214421,255.68160109081705
2,Shenzhen(10kTEU),"[1492.6  1733.3  1978.4  2125.65 1983.2  2037.95 2253.95 2275.5  2310.9
 2365.75 2411.85]","[1846.9 2109.9 2141.4 1825.  2250.9 2257.  2294.  2327.8 2403.7 2420.
 2397. ]",8.493770077865761,217.43889057931577,[2408.5 2459.  2647.5 2675.5],[2521. 2774. 2577. 2655.],8.493770077865761,217.43889057931577
2,Hong Kong(10kTEU),"[2220.55 2298.3  2376.85 2424.6  2276.7  2236.95 2404.15 2375.05 2274.2
 2229.65 2114.8 ]","[2353.9 2399.8 2449.4 2104.  2369.9 2438.4 2311.7 2236.7 2222.6 2007.
 1981. ]",6.422046689234813,160.461387312281,[1994.  2028.5 2018.  1895. ],[2076. 1960. 1830. 2007.],6.422046689234813,160.461387312281
2,Busan(10kTEU),"[1166.75 1193.65 1265.   1336.1  1271.6  1308.7  1518.9  1661.5  1736.6
 1818.2  1906.4 ]","[1203.  1327.  1345.2 1198.  1419.4 1618.4 1704.6 1768.6 1867.8 1945.
 1985. ]",8.595797728953505,150.08585573234106,[1965.  2017.  2107.5 2182.5],[2049. 2166. 2199. 2159.],8.595797728953505,150.08585573234106
2,Guangzhou(10kTEU),"[ 399.25  564.25  842.85 1062.9  1109.55 1187.   1340.5  1450.15 1502.6
 1595.45 1691.  ]","[ 660.  1025.7 1100.1 1119.  1255.  1426.  1474.3 1530.9 1660.  1722.
 1885. ]",16.61060931082395,219.78849440479652,[1803.5 1961.  2112.  2255. ],[2037. 2187. 2323. 2319.],16.61060931082395,219.78849440479652
2,Qingdao(10kTEU),"[ 572.35  700.45  858.2   989.1  1029.   1113.6  1251.6  1376.15 1501.15
 1605.   1702.5 ]","[ 770.2  946.2 1032.  1026.  1201.2 1302.  1450.3 1552.  1658.  1747.
 1801. ]",13.544771060302214,170.86044810684749,[1774.  1815.5 1828.  1963.5],[1830. 1826. 2101. 2200.],13.544771060302214,170.86044810684749
2,Dubai(10kTEU),"[ 752.4   877.1   985.7  1130.9  1146.35 1135.   1230.   1313.5  1345.55
 1444.5  1542.45]","[ 892.3 1079.1 1182.7 1110.  1160.  1300.  1327.  1364.1 1524.9 1560.
 1573. ]",8.993922912884138,129.8399285484036,[1566.5 1555.  1516.  1453. ],[1537. 1495. 1411. 1350.],8.993922912884138,129.8399285484036
2,Tianjin(10kTEU),"[ 430.85  537.55  706.3   833.8   860.    939.   1083.   1194.   1265.5
 1353.55 1408.55]","[ 595.   817.6  850.   870.  1008.  1158.  1230.  1301.  1406.1 1411.
 1449. ]",13.958208788353073,152.24424754023028,[1430.  1478.  1553.5 1665. ],[1507. 1600. 1730. 1835.],13.958208788353073,152.24424754023028
2,Rotterdam(10kTEU),"[ 879.6   947.75  977.75 1035.   1027.15 1044.4  1151.05 1187.05 1174.3
 1195.95 1226.4 ]","[ 965.5  990.  1080.   974.3 1114.5 1187.6 1186.5 1162.1 1229.8 1223.
 1238. ]",5.595846188236762,72.15224119243216,[1230.5 1305.5 1412.  1466.5],[1373. 1451. 1482. 1435.],5.595846188236762,72.15224119243216
2,Kelang(10kTEU),"[ 539.4   593.5   681.9   764.1   763.95  808.95  923.65  980.15 1017.5
 1064.8  1141.8 ]","[ 632.6  731.2  797.   730.9  887.   960.3 1000.  1035.  1094.6 1189.
 1320. ]",11.464195395116562,113.62179688454468,[1254.5 1346.5 1302.5 1295. ],[1373. 1232. 1358. 1324.],11.464195395116562,113.62179688454468
2,Kaohsiung(10kTEU),"[ 959.25  962.3   948.75  943.85  912.9   888.1   940.85  970.85  985.95
 1026.55 1042.65]","[ 977.5  920.   967.7  858.1  918.1  963.6  978.1  993.8 1059.3 1026.
 1046. ]",3.657605572199498,45.59487610765847,[1036.  1036.5 1036.  1043.5],[1027. 1045. 1042.  962.],3.657605572199498,45.59487610765847
2,Dalian(10kTEU),"[242.55 293.15 392.7  457.25 452.75 489.7  582.1  723.   898.6  996.15
 973.05]","[ 321.2  464.2  450.3  455.2  524.2  640.   806.   991.2 1001.1  945.
  961. ]",16.675794629380686,135.44247520962207,[953.  965.5 973.5 999. ],[ 970.  977. 1021.  654.],16.675794629380686,135.44247520962207
2,Hanburg(10kTEU),"[754.55 847.5  911.1  954.85 837.2  745.35 845.7  893.85 908.25 951.6
 927.5 ]",[886.2 936.  973.7 700.7 790.  901.4 886.3 930.2 973.  882.  891. ],10.67529526174177,110.20355236808592,[886.5 888.5 879.5 901.5],[886. 873. 930. 870.],10.67529526174177,110.20355236808592
2,Antwerp(10kTEU),"[627.25 675.05 768.7  850.95 798.65 788.85 856.6  864.85 860.55 877.8
 931.4 ]","[ 701.9  835.5  866.4  730.9  846.8  866.4  863.3  857.8  897.8  965.
 1004. ]",8.562933719545425,84.18772178886897,[ 984.5 1024.5 1077.5 1110. ],[1045. 1110. 1110. 1204.],8.562933719545425,84.18772178886897
2,Xiamen(10kTEU),"[310.7  368.05 432.3  483.05 485.7  525.   613.5  682.55 760.45 829.
 887.6 ]",[401.9 462.7 503.4 468.  582.  645.  720.1 800.8 857.2 918.  961. ],13.98442180758064,92.56310378232887,[ 939.5  999.5 1019.  1056. ],[1038. 1000. 1112. 1141.],13.98442180758064,92.56310378232887
2,Tanjung(10kTEU),"[409.85 447.35 513.5  555.   580.8  627.3  702.5  761.   766.4  808.9
 882.5 ]",[477.  550.  560.  601.6 653.  752.  770.  762.8 855.  910.  828. ],10.316971840604849,77.3091756285348,[869. 833. 867. 903.],[838. 896. 910. 985.],10.316971840604849,77.3091756285348
2,Los Angeles(10kTEU),"[740.3  797.75 778.65 747.65 755.55 754.6  788.55 800.9  797.35 810.45
 825.  ]",[847.  710.3 785.  726.1 783.1 794.  807.8 786.9 834.  816.  886. ],4.844351990305959,50.00915143523962,[851.  914.5 944.5 938. ],[943. 946. 930. 920.],4.844351990305959,50.00915143523962
2,Long Beach(10kTEU),"[624.5  700.   730.1  690.   577.75 566.5  618.15 607.25 638.75 677.55
 700.55]",[729.  731.2 648.8 506.7 626.3 610.  604.5 673.  682.1 719.  680. ],9.941900058647914,76.79999704071965,[699.5 717.  781.5 786. ],[754. 809. 763. 811.],9.941900058647914,76.79999704071965
